date,value
2020-10-05,27.54
2020-10-06,27.54
2020-10-07,27.54
2020-10-08,27.54
2020-10-09,27.54
2020-10-10,27.54
2020-10-11,27.54
2020-10-12,27.54
2020-10-13,27.54
2020-10-14,27.54
2020-10-15,27.54
2020-10-16,27.54
2020-10-17,27.54
2020-10-18,27.54
2020-10-19,27.54
2020-10-20,27.54
2020-10-21,27.54
2020-10-22,27.54
2020-10-23,27.54
2020-10-24,27.54
2020-10-25,27.54
2020-10-26,27.54
2020-10-27,27.54
2020-10-28,27.54
2020-10-29,27.54
2020-10-30,27.54
2020-10-31,27.54
2020-11-01,27.54
2020-11-02,27.54
2020-11-03,27.54
2020-11-04,27.54
2020-11-05,27.54
2020-11-06,27.54
2020-11-07,27.54
2020-11-08,27.54
2020-11-09,27.54
2020-11-10,27.54
2020-11-11,27.54
2020-11-12,27.54
2020-11-13,27.54
2020-11-14,27.54
2020-11-15,27.54
2020-11-16,27.54
2020-11-17,27.54
2020-11-18,27.54
2020-11-19,27.54
2020-11-20,27.54
2020-11-21,27.54
2020-11-22,27.54
2020-11-23,27.54
2020-11-24,27.54
2020-11-25,27.54
2020-11-26,27.54
2020-11-27,27.54
2020-11-28,27.54
2020-11-29,27.54
2020-11-30,27.54
2020-12-01,27.54
2020-12-02,27.54
2020-12-03,27.54
2020-12-04,27.54
2020-12-05,27.54
2020-12-06,27.54
2020-12-07,27.54
2020-12-08,27.54
2020-12-09,27.54
2020-12-10,27.54
2020-12-11,27.54
2020-12-12,27.54
2020-12-13,27.54
2020-12-14,27.54
2020-12-15,27.54
2020-12-16,27.54
2020-12-17,27.54
2020-12-18,27.54
2020-12-19,27.54
2020-12-20,27.54
2020-12-21,27.54
2020-12-22,27.54
2020-12-23,27.54
2020-12-24,27.54
2020-12-25,27.54
2020-12-26,27.54
2020-12-27,27.54
2020-12-28,27.54
2020-12-29,27.54
2020-12-30,27.54
2020-12-31,27.54
2021-01-01,27.54
